Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_DNN,SWC_ANN,SWC_DNN_2HiddenLayers,SWC_DNN_3HiddenLayers,SWC_DNN_4HiddenLayers,SWC_DNN_5HiddenLayers,SWC_DNN_6HiddenLayers,SWC_DNN_7HiddenLayers,SWC_DNN_8HiddenLayers,SWC_DNN_9HiddenLayers,SWC_DNN_10HiddenLayers
0.387,0.392,0.309,0.3882879346521206,0.3920133871156382,0.3913284439924749,0.3929529510149398,0.3892586563940229,0.3929700291820721,0.3942111354599403,0.3818601109732477,0.3869675714393461,0.3926362244936556,
0.39,0.392,1.452,0.38895105313732914,0.3915300663143578,0.3909117129820934,0.3923211432634594,0.3894925341798843,0.39232927387669997,0.39342137748205763,0.3818601109732477,0.38935614160245297,0.3920481732700696,
0.391,0.392,2.305,0.38944594574319635,0.39116937104316657,0.3906006913536246,0.3918496407181355,0.3897724618605518,0.3918510669413393,0.3928318292945968,0.3818601109732477,0.389895431966167,0.3916093346590497,
0.391,0.392,3.16,0.3899419519441411,0.3908078337297958,0.3902889577545325,0.3913770268596911,0.3900722927712738,0.39137176466655815,0.39224098495548837,0.3818601109732477,0.39031607881497704,0.39116943265600895,
0.391,0.392,4.012,0.390436242113327,0.39044756290262994,0.3899783103670324,0.3909060765479917,0.39037108310954627,0.3908941601678788,0.39165211222733687,0.3818601109732477,0.3907351556772843,0.39073113258687087,
0.389,0.392,4.582,0.3907670346183369,0.3902065380270494,0.38977046971198065,0.39059099759975263,0.39057098255379896,0.3905746314032437,0.3912582281717026,0.3818601109732477,0.39101561733591933,0.3904379010961577,
0.392,0.392,4.8660000000000005,0.3909317554115325,0.39008644775132745,0.389666932753252,0.390434017205129,0.39067058541844213,0.39041542381846495,0.39106197985885177,0.3818601109732477,0.39115527311204107,0.3902917736896262,
0.391,0.392,5.436,0.39126245663825737,0.3898454228757469,0.3894591103538573,0.39011894282080417,0.3908158365534372,0.3900958950538298,0.39066807754756044,0.3818601109732477,0.39108497057689795,0.3899985285071703,
0.392,0.392,6.292000000000001,0.3912994973663294,0.38948346340030776,0.38914701164162496,0.38964577901069236,0.3904349459616793,0.38961604510933834,0.39007642083171506,0.3818601109732477,0.390976002560209,0.38955811534573337,
0.391,0.392,6.577000000000001,0.3910842266588748,0.38936294639860325,0.3890430913140991,0.38948823953657286,0.3903081239124352,0.3894562898548493,0.3898794605482409,0.3818601109732477,0.3909399293819585,0.3894114996003768,
0.39,0.392,7.43,0.3904399845230139,0.3890022534093691,0.38873208794128733,0.3890167301453775,0.3899285751114675,0.3889781376864597,0.38929000363906513,0.3818601109732477,0.39099654017434454,0.3889726792450139,
0.387,0.392,7.716,0.390223983589279,0.3888813188095105,0.388627797936707,0.3888586430015477,0.38980131492645514,0.38881779825094637,0.38909236789628165,0.3818601109732477,0.39056778781382234,0.38882554777734685,
0.389,0.392,8.282,0.3897964908690904,0.3886419848641604,0.3884214268620445,0.38854577526976386,0.38954946444626803,0.3885005331877804,0.3887011856778847,0.3818601109732477,0.39009810627028507,0.38853434266456177,
0.39,0.392,8.853,0.3893652739948719,0.3884005355445544,0.3882132393495096,0.3882301532157288,0.3892953776480973,0.388180401986464,0.38830649837334197,0.3818601109732477,0.38962440848220575,0.3882405771958811,
