Observed Water Content,VG Fitted Water Content,"Suction, h(cm)",SWC_rbf,SWC_quad,SWC_linear
0.387,0.392,0.309,0.3889164190599566,0.3967203577523694,0.40231575031292516
0.39,0.392,1.452,0.3897468653049579,0.3945295307098701,0.40094564826986145
0.391,0.392,2.305,0.3901274038570298,0.39295857375305343,0.39992316616830004
0.391,0.392,3.16,0.39033952316641046,0.3914388421325826,0.39889828668743343
0.391,0.392,4.012,0.3904117692894207,0.3899791269167459,0.3978770032729654
0.389,0.392,4.582,0.39039515630346994,0.3890330331348698,0.3971937502861562
0.392,0.392,4.8660000000000005,0.3903698070846298,0.3885707653955328,0.39685332248210825
0.391,0.392,5.436,0.39028788069237697,0.3876612774190366,0.3961700694960477
0.392,0.392,6.292000000000001,0.3900944613836344,0.38634134646363005,0.39514399132380484
0.391,0.392,6.577000000000001,0.39001282822597483,0.3859141104058693,0.3948023648311837
0.39,0.392,7.43,0.38972051652850553,0.3846718991789665,0.3937798827286386
0.387,0.392,7.716,0.38960694075109253,0.384267649961725,0.3934370575446239
0.389,0.392,8.282,0.38935978617751593,0.3834857641752402,0.39275859931605955
0.39,0.392,8.853,0.3890808881626774,0.3827213821692177,0.3920741476387012
0.389,0.392,9.422,0.3887741981218796,0.38198406709296756,0.39139209334039554
0.38799999999999996,0.392,9.993,0.38843865314335063,0.3812686357050309,0.3907076416628021
0.387,0.392,10.845,0.3878900132079057,0.3802467129011295,0.38968635825141124
0.387,0.392,11.415999999999999,0.38749394662015696,0.3795923839095923,0.38900190657380473
0.389,0.392,11.985,0.38708075454802054,0.37896473636703787,0.3883198522762347
0.387,0.392,12.842,0.3864337659928293,0.37806535452401324,0.3872925754158278
0.385,0.392,13.407,0.38599896164176384,0.37750262209272356,0.3866153158756582
0.386,0.392,13.975999999999999,0.3855615933949595,0.3769601669299271,0.385933261577888
0.387,0.392,14.263,0.3853432361710754,0.3766957932320148,0.3855892377051912
0.385,0.392,14.55,0.38512750600535733,0.3764376136741594,0.38524521383279475
0.38299999999999995,0.392,14.831,0.3849196326279829,0.37619083284912286,0.38490838209617256
0.384,0.392,15.686,0.3843152516604646,0.3754764717699891,0.3838835026155758
0.386,0.392,15.972999999999999,0.3841242815330119,0.37524900392376387,0.38353947874321415
0.385,0.392,16.256,0.38394288867362597,0.3750307716070918,0.38320024962835747
0.38299999999999995,0.392,17.11,0.3834420652835058,0.37440872843596795,0.3821765688366995
0.382,0.392,17.396,0.38329119270281614,0.3742126686145046,0.3818337436531287
