Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_DNN,SWC_ANN,SWC_DNN_2HiddenLayers,SWC_DNN_3HiddenLayers,SWC_DNN_4HiddenLayers,SWC_DNN_5HiddenLayers,SWC_DNN_6HiddenLayers,SWC_DNN_7HiddenLayers,SWC_DNN_8HiddenLayers,SWC_DNN_9HiddenLayers,SWC_DNN_10HiddenLayers
0.35600000000000004,0.364,13.12,0.3606117910153281,0.3704256482281594,0.36146533710294737,0.35815583581886845,0.3580404899813572,0.3553441417361573,0.36330868550904805,0.27568769163708384,0.3540515757129069,0.3640672717539274,
0.35200000000000004,0.36200000000000004,13.689,0.35806531151411203,0.3674261102043448,0.3590771385729251,0.3559224222695111,0.35782655721093215,0.3558970763381769,0.36232178923269387,0.27568769163708384,0.3632045923910515,0.36282634806577047,
0.359,0.36,14.543,0.35424314506891763,0.3629241047009335,0.3554926120839295,0.3525703900756546,0.35750553788062034,0.35672722113919375,0.3608407346950863,0.27568769163708384,0.3638591292178159,0.36096370616193874,
0.359,0.358,15.397,0.35042106602348655,0.3584221319724334,0.3519080855949339,0.3492183141819165,0.3571844748504268,0.35755725669050653,0.35935959275771556,0.27568769163708384,0.3629563770635029,0.35910115165787015,
0.354,0.35600000000000004,16.250999999999998,0.34659889957829215,0.35392011554405167,0.34832351540605666,0.34586630383800077,0.35686345552011495,0.3583874014915233,0.35787846174531524,0.27568769163708384,0.3620533627099004,0.3572385316039792,
0.361,0.353,17.105,0.34277664573333466,0.3494181318905812,0.3447390763168243,0.34251423886923305,0.3565423924899215,0.35921752444259936,0.3563973307329149,0.27568769163708384,0.36115043575606104,0.35537584600026584,
0.364,0.348,18.529,0.3364034986991183,0.34191130067768044,0.33876204685946776,0.336924881986615,0.354946625763086,0.36057707145938844,0.3539275008240439,0.27568769163708384,0.3596448109600179,0.352270160964019,
0.37200000000000005,0.344,19.668,0.331305951209117,0.3359069041694652,0.3339813890609661,0.33245410004861453,0.3469800280957595,0.35120346870384367,0.3518425794723995,0.27568769163708384,0.34922640958498485,0.3469818197909056,
0.32299999999999995,0.331,22.514,0.3185687030161777,0.3209037734151319,0.32203580792328546,0.3212832085621868,0.3270739891241187,0.3277814902073952,0.32606384451074766,0.27568769163708384,0.3221356293778546,0.326574717976717,
0.308,0.322,24.223000000000003,0.3109199564377464,0.31189450749754555,0.31486264715642287,0.31457516748524716,0.3151206294075114,0.3137168908854435,0.3105837732485156,0.27568769163708384,0.3058678240497089,0.31432041902539787,
0.295,0.316,25.361,0.30582686633566936,0.30589539867500526,0.31008607529685184,0.31010835131150283,0.30716102372124265,0.3043514272328488,0.3002759216489871,0.27568769163708384,0.29503514779700685,0.3061604930818259,
0.289,0.308,26.785,0.2994536319016898,0.29838854561216366,0.30410911138931773,0.3045190162788256,0.2972010341043053,0.2926322551817929,0.28883241937610166,0.27568769163708384,0.2842899587072893,0.29594977539414746,
0.27699999999999997,0.3,28.208000000000002,0.2930848985555161,0.2908869911599674,0.29813632082047736,0.2989335814605822,0.2872479272187217,0.2809212768585391,0.2786439121532518,0.27568769163708384,0.2806250244361301,0.2857461370872899,
0.26899999999999996,0.29100000000000004,29.631999999999998,0.2867117952211814,0.28338014902209624,0.2921593350630024,0.29334418087808256,0.27728800315160684,0.27443089396693177,0.26959983927996267,0.27568769163708384,0.27695746817207423,0.2755354084746411,
0.268,0.27899999999999997,31.625,0.27779208128598576,0.27287374701046974,0.2837941289255644,0.2855214104461071,0.26334822161650556,0.2654441662632862,0.2657090421706988,0.27568769163708384,0.27182395567950735,0.2612448698397919,
0.263,0.26899999999999996,33.333,0.2701478357953603,0.2638697578535879,0.2766251196474548,0.2788172914335421,0.2514017664811927,0.25774259745295797,0.26237420588025606,0.27568769163708384,0.2674246011979995,0.24899759564444168,
0.258,0.257,35.325,0.2612324973108109,0.25336863260266584,0.26826406499876976,0.27099843214097086,0.24442140959199632,0.24876034898717747,0.2584854954403391,0.27568769163708384,0.2622940165975005,0.24343311491943054,
0.253,0.244,37.603,0.25103735863092663,0.2413598068113242,0.25870262922709203,0.2620569993646147,0.2455152285536814,0.25303875312135743,0.2540379891517815,0.27568769163708384,0.25642682679257234,0.251749005740471,
0.247,0.22899999999999998,40.45,0.23829543455065505,0.2342029679502432,0.24675287475071758,0.2508821530389012,0.2455152285536814,0.25777084942641926,0.24692873946177446,0.27568769163708384,0.24909385555865957,0.2481207684448943,
0.247,0.21600000000000003,43.012,0.22964976257303982,0.22798399956083445,0.2359993717585236,0.24082601275745005,0.2455152285536814,0.23498611352858773,0.24665599757567197,0.27568769163708384,0.2424949549360426,0.24339544562148213,
0.226,0.19899999999999998,46.713,0.22222220294538078,0.2190002379866532,0.22046512356806475,0.22629915062533562,0.2455152285536814,0.23020278457482263,0.22665859307655367,0.27568769163708384,0.22544022398979302,0.24345283449100735,
0.215,0.185,50.129,0.2145713369226913,0.21070828650700757,0.19797434584885773,0.21289090167523517,0.21493664062053036,0.21973129330611782,0.21472935569459542,0.27568769163708384,0.21468432842908086,0.21490433548304969,
0.196,0.168,54.968999999999994,0.19554150242728494,0.20253295635516783,0.1757246713014671,0.19389329584251666,0.1971593212068782,0.19364792100727282,0.19268368311953374,0.27568769163708384,0.19422803147316908,0.19592653662167123,
0.18899999999999997,0.162,56.961999999999996,0.18770528335674386,0.1994462930580133,0.1773833877077627,0.1860705138027602,0.192801306813374,0.1836681189565103,0.18788941280791036,0.27568769163708384,0.18780942563710726,0.19207500385603452,
0.18,0.157,58.67,0.18098983514987127,0.19680102997441634,0.17880491208164612,0.17936640042338303,0.1840010355795907,0.18144535452205293,0.18378092473840302,0.1799113603091167,0.18146642059623186,0.186784679800793,
0.177,0.153,60.093,0.1769526434372117,0.1945971575450278,0.1799892444231173,0.17378098199259517,0.17666913499277737,0.1795934901015234,0.18035773821231393,0.17731032150570972,0.17618189223778896,0.18237722991621674,
0.175,0.15,61.232,0.17416146644891672,0.190390542756985,0.18093720410495642,0.16931025177750145,0.17080059049151927,0.17764751525470274,0.1776182800339052,0.17480795703497956,0.17195198404722642,0.178849458648463,
0.174,0.14800000000000002,62.371,0.17467815199914033,0.18223113643231778,0.1818851856367364,0.16483954153461922,0.16804886357134832,0.17541110280096983,0.17487864705597,0.17349169475092582,0.16772213048151585,0.1753210919698223,
0.17300000000000001,0.146,63.225,0.17506559514950037,0.17611337270115274,0.17817919532680396,0.1614874929533071,0.1722640339768377,0.17386499006461445,0.17282422822168989,0.17369550007378753,0.16455068804841538,0.1726757633364029,
0.17,0.14400000000000002,64.079,0.17458225260894575,0.16999560521452914,0.17361486286724545,0.1627908692347709,0.17522545477891738,0.1725371869149516,0.16668981364071256,0.1672707544043594,0.16137912544064048,0.17003107927623726,
0.16699999999999998,0.142,64.933,0.1657935072189372,0.16387784233687744,0.16905053040768697,0.16609645869663503,0.1702228343567448,0.17120937693718224,0.16187950547253807,0.1656355157594591,0.15820765023262878,0.1664698175117141,
